udata name , peppol name ,udata ID,Peppol ID,Relation
Ville d'Esch-sur-Alzette ,Administration communale d'Esch-sur-Alzette,5b27641ca30b1b713f0d324f,LU10286570,same
Centre hospitalier de Luxembourg - service immunologie - allergologie ,Centre hospitalier de Luxembourg (CHL),5b18df9846f3b5444e46a933,LU11613781,same
Ministère du Logement et de l’Aménagement du territoire - Observatoire de l'Habitat ,Ministère du Logement et de l'Aménagement du territoire (MLOGAT) - Département du Logement,57f24791111e9b0b9f2b7ee8,LU23559714,same
Ministère de l'Économie - Direction générale Énergie ,Ministère de l'Économie (MECO),68d4f95e18c4eb0021d582ee,LU15852112,subset
SOLVIT Luxembourg ,Ministère de l'Économie (MECO),64b1091c5eee9a95f98793f5,LU15852112,subset
Centrale des Bilans ,Institut national de la statistique et des études économiques (STATEC),60b605decbd9bdf24ed3f6ca,LU11367522,subset
SIG-GR @ Ministère du Logement et de l'Aménagement du territoire - Département de l’aménagement du territoire ,Ministère du Logement et de l'Aménagement du territoire (MLOGAT) - Département de l'Aménagement du territoire,5e3d6ce5f176a138049e892b,LU16202141,subset
Service des Technologies de l'Information et de la Communication du CGDIS ,Corps grand-ducal d'incendie et de secours (CGDIS),5b96848688d0b27c547aa1ec,LU30319561,subset
University of Luxembourg Library ,Université du Luxembourg (UNI),5a339b0ecc765e489ca358cf,LU19805732,subset
Ministère d'Etat - Service central de législation  ,Ministère d'État (ME),58d423a8cc765e608d0b8f50,LU15421264,subset
Ministère de la Mobilité et des Travaux publics ,  Ministère de la Mobilité et des Travaux publics (MMTP),57050c9c855e9b6d6bb8d743,LU15550623,same
"Ministère des Affaires étrangères et européennes, de la Défense, de la Coopération et du Commerce extérieur  ","Ministère des Affaires étrangères et européennes, de la Défense, de la Coopération et du Commerce extérieur (MAEE) - D4 (Direction des finances et des ressources humaines)",5d1b5ab10f7fb00d7f63e78b,LU11368532,superset
Ministère des Affaires intérieures ,Ministère des Affaires intérieures (MAINT) - Affaires communales et sécurité civile,57b5a66e6cd582792be2a86b,LU15560634,superset
Administration des Ponts et Chaussées ,Administration des ponts et chaussées - Direction ,57b57440514522122277d5a4,20235000025,same
Sigi,Syndicat intercommunal de gestion informatique (SIGI), 58c53649111e9b1caa60d8eb,LU33590115,same
Syndicat SYVICOL,Syndicat des villes et communes luxembourgeoises (SYVICOL),5d1efa230f7fb0255933b891,19865200040,same
Luxembourg National Data Service,PNED GIE, 653bb19ad392654842846320,LU34458768,same
Direction de la protection des consommateurs,"Ministère de l'Agriculture, de l'Alimentation et de la Viticulture (MAAV) - Direction de la protection des consommateurs (DPC)",65840614343982e03b7d9130,LU31131279, same
CFL Mobility,Société nationale des chemins de fer luxembourgeois (CFL),64251ac499611b4689699c1a,LU10061242,subset
Commission d'Accès aux Documents,Ministère d'État (ME),63e6271dea7e8a8b953536fa,LU15421264,subset
Open Data Lëtzebuerg,Service information et presse (SIP),61a4c3a62867f33a3e80d87f,00005002273, subset
Syndicat T.I.C.E.,"Transport intercommunal de personnes dans le canton d'Esch-sur-Alzette (TICE)",5af5670a46f3b542aa19483a,LU33509813,same
Géoportail,Administration du cadastre et de la topographie (ACT),585b9f70111e9b70fda95c09,LU11385423,subset
Computer Incident Response Center Luxembourg,Luxembourg House of Cybersecurity GIE (LHC),57076175d1dd5f33aa9a6b16,LU23999450, subset
MeteoLux,Direction de l'aviation civile (DAC),56f54cc20d6ceb552e37f07c,00005001390,subset


